Unnamed: 0,resume UIUX Score
12488,81.701
12489,74.878
12490,79.852
12491,80.05
12492,77.576
12493,77.298
12494,82.0
12495,80.273
12496,78.393
12497,82.566
12498,82.421
12499,76.882
12500,77.065
12501,69.513
12502,78.215
12503,75.92
12504,79.613
12505,79.964
12506,80.899
12507,84.434
12508,77.599
12509,80.355
12510,79.228
12511,79.474
12512,82.117
12513,78.181
12514,80.459
12515,80.171
12516,79.507
12518,78.064
12519,77.795
12520,80.856
12521,80.413
12523,78.906
12525,83.941
12526,79.317
12527,80.622
12528,79.936
12529,79.961
12530,75.786
12531,75.877
12532,76.616
12533,79.374
12565,83.661
12656,80.638
12674,79.775
12687,82.962
12736,81.955
13078,76.9
13080,80.952
13146,78.854
13147,78.748
13148,76.09
13149,78.678
13150,80.907
13196,79.192
13382,77.455
13461,77.143
13475,79.141
13477,78.756
13537,78.298
13893,77.371
13897,74.25
14744,74.963
14862,79.369
14882,80.424
14890,78.253
14906,77.913
14907,79.897
14914,76.537
14916,80.94
14930,80.409
14932,77.43
14939,78.203
14947,77.422
15180,79.132
15240,79.749
15339,78.921
15419,79.322
15425,78.35
15426,80.974
15474,78.869
15519,81.159
15524,80.681
15589,77.292
15679,76.429
15743,77.233
16036,80.054
16039,78.71
16064,83.02
6018,85.607
6021,80.387
6026,88.592
9479,84.062
16980,75.695
17014,78.918
18230,80.142
18348,84.935
26715,85.053
26747,86.066
29788,84.459
29835,83.081
30606,82.662
30845,85.679
32072,84.105
46443,87.108
46506,79.368
50300,83.382
51419,85.009
53971,82.609
53972,79.827
53973,85.324
53974,83.727
53975,87.042
53976,78.692
53977,83.087
53978,82.654
53979,86.075
53981,86.191
54796,81.668
54797,87.077
54798,82.627
54799,83.261
54800,78.797
56453,82.841
56528,79.675
56542,82.577
56543,79.886
56544,82.571
56545,77.57
56618,86.484
56619,80.69
56629,87.981
56630,81.609
56631,81.615
56632,84.596
56633,83.571
56634,73.817
56635,83.329
56637,84.129
56638,84.674
56639,84.625
56641,80.084
56642,85.056
56643,82.836
56644,79.681
56645,84.292
56646,81.261
56647,84.961
56648,77.579
56649,82.232
56650,83.246
56651,82.117
56652,81.692
56653,78.108
56654,82.25
56656,84.56
56657,84.246
56661,83.956
56662,84.602
56725,80.974
56795,80.413
56796,85.313
56797,82.471
56798,78.463
56799,81.584
56800,82.555
56801,83.98
56802,73.889
56803,88.364
56804,86.75
56805,79.832
56807,85.502
56809,82.462
56859,82.631
56860,85.939
56861,82.061
56862,85.222
57384,88.823
57400,87.583
62042,83.225
63086,81.363
63087,82.249
83710,81.833
83711,73.533
86666,87.519
87779,76.75
97622,87.754
98134,85.555
98135,86.855
98136,83.706
98137,85.005
98138,82.49
98171,83.708
98172,82.041
98173,81.688
98245,81.223
98250,80.601
98251,80.849
98252,72.668
98253,78.467
98254,85.583
98255,83.245
98256,79.247
98257,82.03
98258,83.671
98259,79.956
98260,79.246
98261,82.727
98262,81.542
98263,79.444
98264,80.437
98265,80.49
98266,81.789
98267,78.138
98268,76.536
98269,83.241
98270,79.438
98271,84.6
98272,90.052
98273,84.736
98274,87.179
98275,84.329
98276,85.626
98277,86.282
98278,86.358
98279,83.453
98280,82.217
98281,86.529
98282,83.016
98283,85.368
98284,84.611
98285,82.442
98286,83.149
98287,87.268
98288,79.643
98289,79.699
98290,79.741
98291,83.39
98292,86.857
98293,85.508
98294,80.952
98295,85.129
98296,84.02
98297,85.132
98298,85.263
98299,83.929
98300,86.34
98301,82.621
98302,82.062
